type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,9.1073,0.853,0.6073,6.2159,0.08,45.1982,44.5206,0.99,3.3,1,10.4,5
red,14.6346,0.2866,0.4533,3.4725,0.11,24.019,61.8076,1.01,1.6,1.2,10.3,4
red,0.6252,0.013,0.1547,0.9139,0.18,56.6853,75.9088,1,3.1,0.5,12.6,4
red,2.072,0.6055,0.183,4.5843,0.17,14.9173,142.3384,0.99,1.4,1.2,10.5,6
red,1.6687,1.2543,0.461,3.7366,0.1,23.8603,90.2648,0.99,3.1,0.3,5.1,5
red,10.7326,0.1461,0.0102,5.7552,0.1,32.8341,138.4215,1,2.3,1.3,11.5,3
red,10.1766,0.3716,0.1274,3.0803,0.13,51.5194,95.6779,1,2.1,0.4,11.8,7
red,0.6637,0.0958,0.2792,2.8472,0.05,45.2491,143.4934,1,2.2,0.5,10.2,7
red,6.9051,0.3991,0.7933,5.4805,0.09,51.7968,38.8926,1,2.2,1,7.3,5
red,13.0532,0.998,0.2083,3.8879,0.05,35.4438,29.721,0.99,2.7,1.2,10.1,4
red,12.9742,0.7456,0.7172,3.1115,0.12,55.5114,136.3551,1,1.8,0.8,8.3,3
red,0.5114,1.2306,0.4491,4.4526,0.15,4.5327,20.4959,0.99,2.9,1.3,8.3,8
red,3.5945,0.4639,0.6498,2.5857,0.09,28.2059,59.9499,1,1.5,1.2,5.9,7
red,11.9133,0.21,0.7767,4.1996,0.18,29.6996,44.9278,1,1.9,0.5,4.9,8
red,2.5778,1.3302,0.0451,2.3614,0.13,18.7655,67.0775,0.99,3.7,0.4,8.2,8
red,5.3696,0.0073,0.2083,3.4025,0.07,28.8495,168.3416,1,3.3,0.5,13,7
red,7.826,0.055,0.7304,3.6718,0.13,12.8546,29.1078,0.99,3.4,1.2,6.8,4
red,5.4179,1.2798,0.6626,5.3569,0.08,10.092,51.7756,1.01,3.3,0.9,10.5,6
red,9.1739,1.175,0.234,6.8443,0.17,43.5565,81.4795,0.99,2.1,0.5,13,5
red,7.5462,1.0162,0.2842,5.812,0.07,22.1554,65.3113,1.01,3.1,0.6,5.7,6
red,8.7995,1.2541,0.5793,2.9753,0.13,48.7822,38.875,1,3.8,1.2,8.9,8
red,10.6113,0.3131,0.2084,3.9316,0.09,28.9893,125.6684,0.99,2,0.7,10.1,7
red,9.5921,1.3399,0.347,4.3565,0.14,8.2419,73.777,0.99,2.8,0.8,9,7
red,14.477,0.9,0.4505,0.0282,0.18,26.0397,135.0032,1,2.5,0.8,6.1,3
red,6.9637,0.4187,0.1688,1.0913,0.06,43.1586,112.6885,1,2.8,0.4,11.6,7
red,9.3395,1.0617,0.5661,2.4639,0.07,5.424,39.7544,1.01,2.6,0.4,5.9,7
red,10.232,0.4505,0.5238,2.1592,0.11,43.1075,45.8259,1,2.6,1.2,12.7,3
red,8.6403,1.1318,0.4941,0.016,0.14,1.3552,110.9909,0.99,3.3,1.3,12.2,8
red,1.6762,0.2039,0.0338,1.8723,0.09,24.5046,74.6985,1.01,1.9,0.6,11.7,4
red,2.3265,0.3876,0.0155,4.2004,0.13,25.0084,63.5545,1,3.7,0.8,9.3,7
red,1.6174,0.2016,0.5235,6.5129,0.14,10.0998,80.0874,1,1.4,0.4,12.3,4
red,14.6699,0.8994,0.057,1.6509,0.07,43.4081,12.1341,0.99,3,0.9,12.2,5
red,4.5568,0.5078,0.1511,2.9656,0.06,11.0203,122.0584,1,2.7,0.5,7.8,3
red,9.8527,0.7245,0.0795,3.8724,0.06,18.4107,144.7592,0.99,3.3,0.4,10.2,3
red,6.8544,0.9731,0.726,5.6228,0.18,21.5026,11.0242,1,3.6,1.3,12,6
red,12.9307,0.0894,0.143,5.4824,0.2,42.8187,162.7949,0.99,2.1,1,11.6,3
red,14.9834,0.7643,0.0698,1.1811,0.2,44.6761,132.1181,1,2.7,0.4,10.2,6
red,5.9201,0.1034,0.3557,1.9502,0.16,38.5426,106.2113,1.01,1.4,0.3,9.2,7
red,4.8945,0.109,0.3027,6.9909,0.16,19.9194,169.1892,0.99,2.7,1,8.2,6
red,8.2077,0.7167,0.3576,6.6712,0.18,31.3959,103.4584,0.99,1.5,0.8,10.1,3
red,4.0063,0.5068,0.2721,6.6201,0.16,46.3506,151.2206,0.99,2.6,1.3,12.4,5
red,11.7819,0.719,0.2113,2.7297,0.05,14.9569,40.7717,1,3.4,0.5,9.8,3
red,6.4715,1.3348,0.23,3.7454,0.16,28.9217,127.0371,0.99,2.8,0.7,5.8,3
red,9.4277,0.5059,0.4124,6.8537,0.13,50.892,47.1146,1,2.7,1,8.2,7
red,5.4393,1.3347,0.6888,2.9639,0.11,36.9736,87.3966,1,3.1,1.1,6.8,5
red,1.9881,1.0488,0.1178,5.4966,0.19,7.9932,147.2128,0.99,2.3,1.3,6.5,4
red,8.1363,1.0051,0.2098,5.9002,0.13,12.1766,44.5013,1,2,0.3,6.1,5
red,3.6112,0.3458,0.7297,5.0297,0.07,22.2678,162.742,1,3.6,0.5,7.3,4
red,8.2935,1.2913,0.2481,6.2587,0.11,45.133,137.7133,1,2.1,1.3,11.4,7
red,13.2188,0.317,0.3606,2.695,0.2,17.1011,139.1872,0.99,2.8,0.8,5,6
red,0.1022,1.1845,0.6885,6.1417,0.19,57.9398,46.2775,0.99,2.6,0.5,10.2,7
red,2.6129,0.7743,0.4093,1.9344,0.07,38.6368,18.3598,1.01,1.5,1.3,9.4,3
red,10.8475,0.1383,0.0089,6.8271,0.05,22.4412,42.7612,1,3.1,0.9,8.5,3
red,5.7179,0.0769,0.7757,5.834,0.05,35.296,93.8235,1,1.8,0.5,10,5
red,4.1884,0.7572,0.6889,6.953,0.14,15.7206,23.7087,1,1.6,0.8,9.1,8
red,13.5467,0.9812,0.4569,4.4996,0.1,56.9602,99.8409,1,3.8,1,4.6,5
red,10.4112,1.2987,0.1361,0.685,0.17,18.9284,75.0448,1,1.7,0.8,6.8,5
red,6.9187,0.4862,0.3622,0.8427,0.18,17.8558,82.6446,0.99,3.1,0.3,12.9,7
red,3.5498,1.207,0.4266,2.4364,0.2,31.3227,156.5377,0.99,2.6,0.5,12.8,6
red,11.0362,0.0432,0.435,3.8752,0.1,27.0418,16.5975,1,3.6,1.1,10.5,3
red,1.8108,1.2598,0.546,6.2861,0.15,8.9949,27.1893,1.01,3.4,0.8,11.1,8
red,13.2117,0.4663,0.0178,5.5109,0.14,46.5951,104.0148,0.99,3.8,1.1,11.1,6
red,8.9748,1.102,0.7024,2.434,0.19,13.0783,129.9395,0.99,1.9,0.7,9.3,4
red,10.9123,0.808,0.723,5.9316,0.18,30.8487,39.3385,0.99,3.6,0.5,12.8,5
red,13.6597,0.3697,0.167,3.3369,0.17,14.9984,67.4837,0.99,1.9,0.8,12,7
red,0.0508,0.5288,0.7997,2.5911,0.1,4.9212,162.8328,1,2,0.6,10.3,4
red,14.4313,0.2157,0.7979,3.3837,0.2,3.1802,17.8035,0.99,3.6,0.4,12.7,3
red,3.6589,1.1687,0.372,0.7485,0.15,12.6398,21.7496,0.99,2.1,0.7,5.7,7
red,12.9943,0.7998,0.6399,2.1104,0.13,55.7723,11.5079,0.99,3.6,1.3,13,6
red,14.5422,0.5017,0.335,0.3004,0.2,31.758,50.3331,0.99,2.7,1.1,12.3,5
red,7.8599,0.5459,0.1136,2.2693,0.06,30.6408,92.5782,0.99,3.5,0.5,11.8,4
red,13.4501,0.82,0.7243,2.429,0.06,28.0444,108.1123,0.99,2.4,0.6,5.6,3
red,13.7611,0.4925,0.0364,2.0919,0.18,2.2927,91.0317,1.01,1.4,0.5,10.1,5
red,5.5284,0.2339,0.2371,6.9853,0.13,37.8806,13.8762,1,1.9,0.4,8.1,3
red,11.3904,0.2243,0.4533,1.4268,0.18,40.1729,122.7496,0.99,3.3,1,9,8
red,3.0425,0.0938,0.5661,0.385,0.16,4.6778,34.1892,1,3.7,1.3,5.3,7
red,9.8974,0.9693,0.5784,3.5027,0.08,56.314,11.0362,1,3.3,0.9,11.7,3
red,13.6968,0.6815,0.5119,0.6316,0.12,46.7293,127.5289,0.99,3.5,1.1,12.5,6
red,11.5777,0.1944,0.4577,4.5925,0.15,34.0995,24.5463,0.99,2.3,0.9,7.4,3
red,11.1414,0.9735,0.7858,2.4635,0.2,16.0006,34.49,1,3.8,0.7,7,7
red,14.3119,0.4285,0.3713,2.2421,0.2,9.0504,159.1871,1,3.4,1.3,13.3,7
red,0.7361,0.559,0.4749,6.8984,0.12,59.0634,111.408,1,1.7,0.3,9.1,3
red,9.8647,0.0975,0.6262,1.2151,0.07,20.5156,152.1899,1,3.4,0.4,4.7,3
red,3.1741,1.0458,0.0954,5.4354,0.11,53.4627,147.3731,1.01,1.7,0.7,5.4,3
red,6.0684,0.2778,0.679,3.2382,0.07,18.3075,51.908,0.99,1.6,1.3,10.3,6
red,1.6593,0.8474,0.4628,1.0173,0.14,51.9321,149.8379,1.01,2.4,0.8,11.7,7
red,5.9065,0.8147,0.5097,2.1538,0.08,24.5736,120.6356,0.99,2.6,1,5.9,4
red,9.1749,0.6253,0.6036,4.3225,0.17,9.512,17.2358,0.99,2,0.7,4.5,3
red,11.3898,0.7782,0.4003,4.2493,0.16,4.6676,115.2128,0.99,1.9,1.1,6.6,4
red,6.2326,0.8284,0.2449,5.8654,0.07,7.5385,110.8175,1,1.5,0.6,12.7,7
red,1.362,0.1205,0.3291,1.3323,0.14,1.3125,87.2001,0.99,2.9,1.1,7.9,5
red,11.1509,1.247,0.2394,1.4361,0.12,35.4793,32.4205,1,1.8,0.5,8.8,6
red,7.1724,1.313,0.5436,4.8879,0.18,31.9904,167.2613,1,3.5,0.5,11.7,3
red,2.6592,1.1957,0.0011,6.2288,0.11,9.1514,20.9759,1,3.8,0.9,7.2,5
red,5.1788,0.9601,0.1123,3.0325,0.12,13.585,77.9252,1,2.5,0.6,7.7,8
red,3.2973,1.109,0.2014,5.6295,0.16,21.4275,136.0871,0.99,3.7,1,12.9,8
red,5.1699,1.2674,0.4406,0.6329,0.14,25.8103,169.4442,0.99,2.9,0.7,9.4,7
red,6.0399,0.3121,0.7081,5.982,0.14,44.2456,85.1414,1,1.4,0.8,7.3,7
red,0.5748,0.9605,0.4232,5.4531,0.12,19.4339,141.5185,1,1.8,0.8,8,6
red,13.0834,0.6208,0.6968,1.991,0.05,27.7012,156.979,0.99,2.7,1,7.5,7
red,1.9056,0.9587,0.128,2.9402,0.07,7.006,117.2351,1,2.5,0.9,9.6,8
red,6.1601,1.1051,0.0544,0.4104,0.19,37.4623,117.5955,0.99,1.8,1.2,4.8,4
red,1.4739,0.0954,0.4111,3.3367,0.09,22.5661,23.101,1,3.2,0.8,8.7,3
red,8.6964,0.2286,0.582,4.1218,0.11,6.7863,63.1561,1,2.5,0.3,5,5
red,0.9097,1.2867,0.2958,3.8653,0.07,35.0566,118.6998,1,3.3,0.8,12.3,8
red,0.6732,0.8554,0.1771,6.7588,0.13,4.4828,79.9751,0.99,2.1,1,9.1,8
red,0.1516,0.8413,0.1998,5.159,0.14,49.2779,105.5433,1,2.8,0.7,9.6,6
red,6.3587,1.0411,0.595,1.0279,0.13,51.0402,11.2338,1.01,1.5,0.7,9,4
red,4.6033,0.2617,0.3193,0.0913,0.05,37.0625,35.9252,1,2,0.4,13.4,3
red,6.4691,0.6313,0.3796,5.4681,0.16,25.9773,29.1792,0.99,2.1,1.3,9.4,6
red,5.5237,0.0838,0.0865,5.6432,0.1,33.944,32.2895,1,3.6,0.3,11.6,6
